Date,IVV,SPY
2020-06-29,282.0850524902344,281.87152099609375
2020-06-30,285.8042907714844,285.4822082519531
2020-07-01,287.7607421875,287.48193359375
2020-07-02,289.2742614746094,289.06512451171875
2020-07-06,293.7132568359375,293.5274353027344
2020-07-07,290.686279296875,290.5001220703125
2020-07-08,292.85498046875,292.7220458984375
2020-07-09,291.3692321777344,291.0555725097656
2020-07-10,294.30389404296875,294.02740478515625
2020-07-13,291.692138671875,291.48138427734375
2020-07-14,295.47601318359375,295.2587890625
2020-07-15,298.23541259765625,297.9714050292969
2020-07-16,297.2017517089844,296.9899597167969
2020-07-17,298.07843017578125,297.8509826660156
2020-07-20,300.5425720214844,300.25811767578125
2020-07-21,301.0870056152344,300.8968811035156
2020-07-22,302.8590087890625,302.609619140625
