Date,KO,PEP
2022-06-02,56.99150848388672,149.0306396484375
2022-06-03,56.31186294555664,147.39439392089844
2022-06-06,56.22243881225586,148.01133728027344
2022-06-07,56.56224822998047,148.92330932617188
2022-06-08,56.24031066894531,148.1812286376953
2022-06-09,55.26556396484375,145.54360961914062
2022-06-10,54.91680145263672,145.3111572265625
2022-06-13,54.854209899902344,142.82554626464844
2022-06-14,53.34999084472656,139.5888214111328
2022-06-15,53.746307373046875,141.08197021484375
2022-06-16,53.205875396728516,140.40245056152344
2022-06-17,53.5301399230957,140.4292755126953
2022-06-21,54.674068450927734,143.6927947998047
2022-06-22,55.07939147949219,144.87303161621094
2022-06-23,55.73692321777344,146.72384643554688
2022-06-24,56.78176498413086,148.53887939453125
2022-06-27,56.664676666259766,148.735595703125
2022-06-28,56.09720993041992,146.6433563232422
2022-06-29,56.50253677368164,149.07533264160156
2022-06-30,56.664676666259766,149.01275634765625
2022-07-01,57.988731384277344,151.45367431640625
2022-07-05,56.99793243408203,151.11390686035156
2022-07-06,57.115028381347656,152.62498474121094
2022-07-07,56.664676666259766,152.3209686279297
2022-07-08,56.87183380126953,153.6800079345703
2022-07-11,56.691688537597656,152.41934204101562
2022-07-12,56.44850158691406,151.55203247070312
2022-07-13,56.187278747558594,152.0885009765625
2022-07-14,56.00713348388672,152.87535095214844
2022-07-15,56.295372009277344,153.00050354003906
2022-07-18,55.529754638671875,150.44332885742188
2022-07-19,56.3223876953125,152.052734375
2022-07-20,55.394649505615234,150.44332885742188
2022-07-21,55.2685432434082,150.66685485839844
2022-07-22,55.475711822509766,151.65037536621094
2022-07-25,56.016136169433594,151.86500549316406
2022-07-26,56.93488311767578,153.6353302001953
2022-07-27,56.75473403930664,153.42071533203125
2022-07-28,57.700496673583984,156.3265838623047
2022-07-29,57.79957962036133,156.4338836669922
2022-08-01,58.114830017089844,158.21315002441406
2022-08-02,57.32219696044922,156.9077606201172
2022-08-03,57.574398040771484,158.1058807373047
2022-08-04,57.349220275878906,157.24752807617188
2022-08-05,57.0880012512207,156.06727600097656
2022-08-08,56.718711853027344,155.44143676757812
2022-08-09,56.79076385498047,156.02259826660156
2022-08-10,57.331207275390625,157.31015014648438
2022-08-11,56.94389724731445,156.50540161132812
2022-08-12,57.376243591308594,158.5529327392578
2022-08-15,58.09682083129883,160.2964630126953
2022-08-16,58.57420349121094,161.22633361816406
2022-08-17,58.4390983581543,161.13690185546875
2022-08-18,58.7453498840332,161.29786682128906
2022-08-19,58.70030212402344,161.0922088623047
2022-08-22,57.826602935791016,159.55435180664062
2022-08-23,57.8896484375,159.48281860351562
2022-08-24,57.9707145690918,160.27857971191406
2022-08-25,58.249942779541016,160.28749084472656
2022-08-26,56.84481430053711,156.50540161132812
2022-08-29,56.50253677368164,156.01368713378906
2022-08-30,55.98011779785156,154.6724853515625
2022-08-31,55.583797454833984,154.02871704101562
2022-09-01,55.845008850097656,155.5859375
2022-09-02,55.07939147949219,153.61468505859375
2022-09-06,55.10641098022461,152.57952880859375
2022-09-07,56.124229431152344,155.9459991455078
2022-09-08,55.953094482421875,155.42391967773438
2022-09-09,56.13323974609375,155.91897583007812
2022-09-12,56.295372009277344,156.5310516357422
2022-09-13,54.46689987182617,150.68927001953125
2022-09-14,54.755123138427734,151.83242797851562
2022-09-15,54.01114273071289,149.3120880126953
2022-09-16,54.02022171020508,150.29322814941406
2022-09-19,54.428504943847656,151.87744140625
2022-09-20,54.34684753417969,152.0484619140625
2022-09-21,53.89320373535156,151.6164093017578
2022-09-22,53.76617431640625,151.76043701171875
2022-09-23,53.167362213134766,151.6884002685547
2022-09-26,52.505043029785156,151.6254119873047
